16:20:59 : INFO | FPS: 584, deltatime: 0.001712
16:20:59 : INFO | FPS: 574, deltatime: 0.001742
16:20:59 : INFO | FPS: 285, deltatime: 0.003506
16:20:59 : INFO | FPS: 508, deltatime: 0.001966
16:20:59 : INFO | FPS: 556, deltatime: 0.001797
16:20:59 : INFO | FPS: 592, deltatime: 0.001687
16:20:59 : INFO | FPS: 271, deltatime: 0.003679
16:20:59 : INFO | FPS: 546, deltatime: 0.001830
16:20:59 : INFO | FPS: 283, deltatime: 0.003523
16:20:59 : INFO | FPS: 309, deltatime: 0.003232
16:20:59 : INFO | FPS: 250, deltatime: 0.003992
16:20:59 : INFO | FPS: 412, deltatime: 0.002425
16:20:59 : INFO | FPS: 349, deltatime: 0.002863
16:20:59 : INFO | FPS: 170, deltatime: 0.005857
16:20:59 : INFO | FPS: 107, deltatime: 0.009274
16:20:59 : INFO | FPS: 62, deltatime: 0.016000
16:20:59 : INFO | FPS: 425, deltatime: 0.002349
16:20:59 : INFO | FPS: 176, deltatime: 0.005673
16:20:59 : INFO | FPS: 165, deltatime: 0.006031
16:20:59 : INFO | FPS: 330, deltatime: 0.003023
16:20:59 : INFO | FPS: 521, deltatime: 0.001917
16:20:59 : INFO | FPS: 623, deltatime: 0.001604
16:20:59 : INFO | FPS: 193, deltatime: 0.005157
16:20:59 : INFO | FPS: 597, deltatime: 0.001674
16:20:59 : INFO | FPS: 610, deltatime: 0.001638
16:20:59 : INFO | FPS: 630, deltatime: 0.001587
16:20:59 : INFO | FPS: 560, deltatime: 0.001784
16:20:59 : INFO | FPS: 541, deltatime: 0.001846
16:20:59 : INFO | FPS: 576, deltatime: 0.001736
16:20:59 : INFO | FPS: 211, deltatime: 0.004726
16:20:59 : INFO | FPS: 548, deltatime: 0.001822
16:20:59 : INFO | FPS: 558, deltatime: 0.001789
16:20:59 : INFO | FPS: 573, deltatime: 0.001742
16:20:59 : INFO | FPS: 615, deltatime: 0.001626
16:20:59 : INFO | FPS: 556, deltatime: 0.001797
16:20:59 : INFO | FPS: 576, deltatime: 0.001736
16:20:59 : INFO | FPS: 580, deltatime: 0.001722
16:20:59 : INFO | FPS: 232, deltatime: 0.004303
16:20:59 : INFO | FPS: 145, deltatime: 0.006895
16:20:59 : INFO | FPS: 1381, deltatime: 0.000724
16:20:59 : INFO | FPS: 364, deltatime: 0.002740
16:20:59 : INFO | FPS: 430, deltatime: 0.002324
16:20:59 : INFO | FPS: 602, deltatime: 0.001659
16:20:59 : INFO | FPS: 568, deltatime: 0.001758
16:20:59 : INFO | FPS: 568, deltatime: 0.001757
16:20:59 : INFO | FPS: 592, deltatime: 0.001688
16:20:59 : INFO | FPS: 546, deltatime: 0.001831
16:20:59 : INFO | FPS: 1287, deltatime: 0.000777
